publication,userComment
1,296
3,332
3,175
3,23
3,585
4,616
4,859
4,581
5,941
7,505
7,279
10,574
10,894
10,638
13,17
13,431
13,270
13,122
14,369
14,640
14,654
14,433
14,161
14,350
14,243
16,818
16,180
16,648
16,774
16,524
16,798
19,21
19,896
19,107
20,347
20,192
21,688
22,193
22,3
22,161
22,163
22,549
23,820
23,727
23,970
23,379
23,376
23,425
23,472
23,223
23,419
23,473
23,957
23,880
23,451
25,857
26,104
27,572
27,689
29,538
29,785
31,209
32,395
32,780
32,637
32,647
32,340
32,278
32,270
32,271
33,701
33,199
33,135
34,852
35,140
35,214
35,425
35,324
35,46
35,752
35,267
35,42
35,294
35,175
35,284
35,913
37,86
37,133
37,123
37,120
37,234
37,55
37,150
39,807
39,760
40,720
40,721
40,570
40,606
40,722
40,669
42,59
42,169
42,294
42,61
42,358
43,931
44,567
44,942
44,585
44,957
45,978
46,167
46,218
46,606
46,943
46,719
46,727
46,423
46,536
50,71
50,324
50,835
50,188
50,147
50,198
52,326
52,836
52,695
54,647
54,680
54,648
54,147
54,209
54,238
54,879
54,442
54,674
54,304
56,582
56,709
56,208
56,341
56,177
56,113
57,509
57,881
57,630
57,594
57,757
57,670
60,420
62,173
62,440
62,906
62,393
63,868
63,234
63,422
64,510
64,121
64,957
64,626
64,87
64,72
64,509
64,136
64,110
64,637
64,212
65,821
66,964
67,573
67,696
67,139
68,297
68,304
68,260
68,4
68,412
68,305
69,159
69,100
69,194
72,307
72,607
72,334
72,796
76,894
77,236
77,611
77,734
77,742
77,648
77,302
78,902
78,777
79,741
82,283
84,779
84,356
88,400
92,163
92,725
92,108
92,581
93,678
94,727
94,914
95,401
96,818
96,651
96,287
96,74
96,858
96,292
96,215
96,840
97,721
97,542
98,677
98,429
100,105
100,316
101,478
101,497
101,437
101,980
102,477
102,626
102,872
103,856
103,193
103,372
104,158
104,338
105,173
105,64
105,215
105,395
105,276
105,60
105,140
105,262
105,366
106,55
106,646
106,329
107,242
107,796
110,716
110,723
110,692
110,657
111,166
111,158
111,151
111,791
113,486
114,734
114,673
115,397
117,698
118,752
118,382
118,731
119,26
119,325
119,886
119,454
119,462
121,58
121,228
121,261
123,662
124,809
124,114
124,806
124,363
126,36
126,163
126,64
126,506
126,836
126,699
126,222
126,883
126,55
126,431
126,119
127,82
128,958
130,708
130,911
130,876
131,571
131,399
132,949
132,537
132,510
132,858
133,263
133,792
133,794
135,92
135,701
135,76
136,390
136,288
138,552
140,103
140,684
140,769
140,672
