publication,userComment
0,291
0,204
1,64
1,78
1,645
1,188
1,161
1,87
1,628
1,56
1,548
1,513
1,394
1,533
3,8
3,2
3,784
3,269
3,564
3,63
3,443
3,25
3,195
3,823
3,511
4,37
4,190
4,261
4,628
4,505
4,443
4,132
4,912
4,69
4,143
4,609
4,70
4,701
4,67
5,320
5,171
5,566
5,160
5,892
5,833
5,443
6,569
7,256
7,100
7,233
7,97
7,20
7,273
7,8
7,136
7,30
7,33
7,10
7,83
7,539
7,5
7,145
7,516
7,781
8,943
8,119
8,539
9,877
9,834
9,631
9,77
9,817
9,10
9,784
9,515
9,335
9,21
10,792
10,77
10,817
10,823
10,268
11,322
12,510
12,125
12,149
12,556
12,65
12,754
12,285
12,40
12,641
13,58
13,587
13,513
13,856
13,388
13,767
13,806
14,72
14,272
14,195
14,511
14,250
14,80
14,570
14,307
15,134
15,27
15,502
15,919
15,11
15,13
15,0
15,366
15,190
15,15
15,259
15,120
16,883
16,231
16,320
16,349
16,506
16,230
16,280
16,701
16,97
16,530
16,37
16,888
16,279
16,24
16,137
16,520
16,851
16,82
17,180
18,131
18,377
18,22
18,257
18,639
18,506
18,67
18,9
18,58
18,139
18,10
18,760
18,66
18,14
19,11
20,205
20,140
20,520
21,765
21,887
21,3
21,205
21,608
22,13
22,56
22,21
22,465
22,64
22,145
22,750
22,90
23,207
23,273
23,64
23,520
23,17
23,265
23,7
23,490
23,20
24,13
24,526
24,174
24,801
24,180
24,129
24,146
24,278
24,84
25,113
25,270
25,278
25,398
26,113
27,627
27,674
27,644
27,903
28,258
28,574
28,144
28,256
28,557
28,886
28,635
29,703
29,477
30,512
30,878
30,272
30,326
30,57
30,91
30,455
30,510
30,405
30,399
30,47
30,77
30,518
30,92
31,44
31,378
31,771
31,119
31,387
31,420
32,86
32,21
32,411
32,286
32,92
32,420
33,184
33,372
34,778
34,575
35,313
36,504
36,407
36,675
37,603
37,34
37,202
37,40
37,545
37,42
38,103
38,291
38,61
38,945
38,289
38,845
38,313
38,504
38,675
38,157
39,753
39,296
39,931
39,663
39,927
39,22
39,7
39,52
39,57
39,186
39,283
39,464
39,729
39,430
40,32
40,35
40,125
40,25
40,549
40,169
40,347
40,505
40,754
40,845
40,107
40,328
41,319
41,50
41,356
42,52
42,225
43,58
43,726
44,574
44,58
44,843
44,103
44,55
44,851
44,524
44,250
44,419
44,494
44,990
45,10
45,502
45,227
45,352
45,557
45,780
45,541
46,225
46,42
47,179
47,648
47,716
47,58
47,37
47,302
48,607
49,543
49,58
49,45
49,362
49,9
49,140
49,600
49,107
50,259
50,2
50,611
50,753
50,808
50,155
50,910
51,801
51,35
51,259
51,285
51,220
51,378
51,734
51,465
51,363
51,676
52,87
52,165
52,94
52,111
53,625
53,58
53,42
53,517
54,175
54,660
54,616
54,58
54,19
54,371
54,548
54,116
55,860
55,616
55,631
55,797
55,1
55,161
55,201
55,741
55,298
56,772
56,779
56,52
56,661
56,802
56,609
56,805
56,25
56,597
56,647
56,555
57,266
57,112
57,25
57,666
57,178
58,303
58,53
58,783
59,153
61,59
61,407
61,229
62,335
62,666
62,47
62,31
62,351
62,117
62,60
62,127
62,119
62,596
62,165
62,557
62,185
62,201
62,414
62,182
63,41
63,792
64,249
64,551
64,560
64,435
65,539
65,14
65,76
65,678
66,34
66,264
66,40
66,14
66,678
67,107
67,561
67,304
67,137
67,43
68,119
68,949
68,445
68,200
68,121
68,336
68,421
68,447
69,406
69,321
69,69
69,98
70,96
70,75
70,104
70,187
70,630
70,71
70,820
70,575
70,469
70,156
71,100
71,701
71,698
71,343
71,549
71,82
71,445
71,201
71,375
71,21
71,596
72,77
72,233
72,220
72,1
72,68
72,346
72,344
72,82
73,257
74,99
74,90
75,99
75,943
75,90
75,7
75,10
75,340
75,631
75,506
75,96
75,8
76,159
76,69
76,100
76,577
76,432
76,565
76,314
76,581
77,817
77,101
77,575
77,71
77,630
77,336
77,449
78,650
78,314
78,335
78,94
78,338
78,836
79,326
79,65
79,80
80,108
80,116
80,690
80,231
80,612
80,64
80,401
80,594
81,200
81,167
81,95
81,70
81,325
81,255
82,188
82,550
82,580
82,117
82,392
84,274
84,687
84,66
84,674
84,121
84,532
84,692
84,100
84,547
84,735
84,347
84,619
84,580
84,642
84,206
84,329
85,456
85,102
85,71
85,79
85,337
85,114
85,25
85,372
85,817
85,235
85,91
85,322
87,336
87,331
87,485
87,328
87,518
87,315
87,522
87,314
87,345
87,93
87,408
88,90
88,67
88,53
88,465
88,278
88,685
88,458
88,151
89,204
89,54
89,90
89,81
89,721
89,267
89,223
89,255
89,335
90,520
90,865
90,518
90,189
90,586
90,507
92,282
92,323
92,494
92,111
92,119
92,457
92,816
92,353
93,86
93,96
93,588
93,598
93,93
93,326
93,620
93,516
93,117
93,400
94,231
94,56
94,133
94,527
94,118
95,337
95,704
95,527
95,493
96,967
96,27
97,85
97,496
97,92
97,114
97,671
98,223
98,215
99,74
99,311
99,325
99,328
100,28
100,82
100,311
100,90
101,590
101,78
101,89
102,217
102,68
102,459
102,639
102,76
102,111
103,93
103,121
103,730
103,549
103,572
103,906
103,841
103,104
104,51
104,228
104,192
104,575
104,116
104,730
104,94
104,537
104,266
104,69
105,98
105,212
105,116
105,533
105,753
105,48
105,844
105,534
105,81
106,314
106,564
106,118
106,595
106,191
106,115
106,347
107,534
107,503
107,63
107,438
107,725
107,327
107,68
108,163
108,221
108,733
108,96
108,862
109,753
110,601
110,259
110,613
110,441
111,627
111,222
111,347
111,68
111,12
111,422
111,40
111,720
111,718
111,535
111,372
111,621
111,64
111,847
111,63
111,408
112,333
112,112
112,574
112,583
112,161
112,413
112,200
112,130
113,111
113,100
113,108
114,2
114,108
114,350
115,255
115,106
115,132
115,827
115,45
115,350
115,251
115,577
115,183
116,470
116,112
117,718
117,156
117,544
117,312
117,119
117,664
117,562
117,39
117,601
117,321
117,358
118,826
118,57
118,221
119,111
120,86
120,500
120,976
120,242
120,336
120,99
120,480
120,231
121,726
121,338
121,242
121,537
121,0
121,233
121,855
121,106
122,918
122,614
122,597
122,289
122,476
122,42
123,168
123,104
123,32
