publication, user, type, topic, publication_description, quality, num_likes, num_comments, num_share, date, users_tagged
0,674,Image,TV show,Arcane breaking rankings,0.6871731949029984,9,5,5,0,0
1,504,Video,TV show,Family going to the cinema,0.22528640586908155,4,1,0,0,1
2,373,Text,Drink Brand,Green Fanta on the supermarket,0.7028080098214231,7,0,0,0,5
3,303,Image,Sports,Watching football on the TV,0.30247651347924387,2,1,0,0,7
4,948,Video,TV show,Family going to the cinema,0.4560205313074539,1,0,0,1,3
5,441,Image,Food,Chinese Peking duck,0.9505163864917546,21,6,5,1,6
6,718,Image,TV show,Arcane breaking rankings,0.6783410879107548,11,0,0,1,8
7,18,Image,Sports,Palau Blaugrana show,0.18454212738185316,0,0,0,2,7
8,254,Image,Computer games,Computer games shop,0.9136925299497551,33,12,11,2,6
9,993,Video,TV show,Black Batman costume,0.9525448950063065,4,4,3,2,1
10,102,Image,TV show,Family going to the cinema,0.460383162490523,8,2,2,2,0
11,915,Image,Computer games,Red Nintendo DS,0.5281237777040725,3,0,0,2,5
12,394,Text,Sports,Kid watching champions league on mobile phone,0.33578173696700453,2,1,1,2,8
13,519,Image,Food,Egyptian Cuisine program,0.9713379780832999,27,7,7,2,0
14,996,Video,TV show,Kid watching Better Call Saul,0.9819541571032845,11,4,4,2,8
15,733,Video,TV show,Dog watching the TV,0.23653313025093214,0,0,0,2,3
16,872,Image,Sports,Playing paddle,0.1444449187228417,0,0,0,2,6
17,9,Image,Music Artist,Elvis Presley show,0.03582379708836014,0,0,0,2,5
18,532,Video,TV show,Watching the TV having dinner,0.8366724331577412,37,17,13,2,7
19,714,Image,Sports,Visitors watching the Camp Nou,0.9257379732664609,11,4,2,2,4
20,72,Image,Music Artist,Rap battle on the street,0.403424492469018,6,0,0,2,2
21,33,Text,News and present,Tornadoes ravage central U.S.,0.46461349794226203,13,7,3,2,1
22,571,Image,Sports,Visitors watching the Camp Nou,0.7626697445051817,12,4,1,2,7
23,313,Video,TV show,Breaking bad scene,0.6208646486213656,7,4,2,2,8
24,51,Text,TV show,The Great British Baking Show,0.28044885153944077,0,0,0,2,2
25,223,Image,TV show,Family going to the cinema,0.35920449270462296,6,2,2,3,9
26,235,Image,Computer games,Computer games shop,0.999201286605706,23,9,5,3,10
27,704,Image,Sports,Cat playing football,0.4958954523053185,3,0,0,3,5
28,843,Image,Music Artist,Driving a car with music,0.06477756771800591,1,0,0,3,9
29,832,Image,TV show,Almodovar on the Oscars gala,0.21626139431222646,1,0,0,3,5
30,1,Image,Sports,Playing paddle,0.1679731812156875,0,0,0,3,2
31,76,Video,News and present,The rise of NFTs,0.8908927174380795,30,11,7,3,8
32,253,Image,TV show,Family going to the cinema,0.23705849847763372,1,1,1,3,7
33,733,Image,Music Artist,Family singing,0.6106312644032329,4,1,1,3,3
34,209,Video,News and present,Economic recovery and inflation,0.44847655447727075,1,1,1,3,2
35,113,Text,Sports,Kid watching champions league on mobile phone,0.9951674932989147,31,13,10,3,9
36,521,Image,Music Artist,Michael Jackson dancing,0.8609285192131756,18,6,4,3,5
37,775,Image,Sports,Mbappe coming to Madrid,0.11696844226811953,0,0,0,3,7
38,635,Image,Music Artist,Listening queen on the bed,0.6709076182498397,10,1,0,3,1
39,497,Image,Music Artist,AC/DC playing the guitar,0.9025340453624944,10,2,1,3,5
40,361,Text,Computer games,Friends playing games on the sofa,0.8589256875475928,13,6,4,3,3
41,545,Video,TV show,Almodovar on the Oscars gala,0.21303615103411555,1,1,1,3,6
42,121,Video,Music Artist,Eminem singing on NFL,0.528769880762005,4,1,1,4,8
43,268,Image,TV show,The Great British Baking Show,0.32885160685390935,2,0,0,4,1
44,84,Text,Music Artist,Piano classes academy,0.639199658290799,15,8,8,4,10
45,546,Video,Sports,Kid watching champions league on mobile phone,0.09960850598252613,0,0,0,5,5
46,388,Text,TV show,The Great British Baking Show,0.4902060646601618,4,1,1,5,4
47,747,Image,Sports,Watching football on the TV,0.8125179087319456,1,1,0,5,2
48,475,Image,Animals,Human touching a parrot,0.22688800840367407,0,0,0,5,8
49,96,Image,Music Artist,Driving a car with music,0.06702502719924652,1,0,0,5,5
50,840,Text,Music Artist,Led Zeppelin singing,0.059683554363746616,0,0,0,5,2
51,309,Text,Music Artist,Boy and girl dancing,0.6311110907265206,8,4,2,5,8
52,479,Image,Music Artist,Pink Floyd doing a talk,0.5074452894949019,4,2,1,5,3
53,275,Image,TV show,Black Batman costume,0.15008102644487975,0,0,0,5,1
54,81,Image,Food,Family eating lasagne,0.16602380256142957,2,1,1,5,6
55,339,Text,Computer games,Red Nintendo DS,0.4461524434603662,1,0,0,5,8
56,12,Image,Music Artist,Driving a car with music,0.3815510759319316,0,0,0,6,7
57,269,Video,TV show,Arcane breaking rankings,0.45130209398752763,2,0,0,6,5
58,42,Image,Sports,Playing paddle,0.5355663243602655,9,4,3,6,2
59,661,Image,Music Artist,Boy and girl dancing,0.4661106837872476,10,5,3,6,4
60,71,Image,Food,Egyptian Cuisine program,0.8571737246717671,15,2,1,6,7
61,831,Text,Animals,Book of 100 animals,0.24509882201568323,4,2,1,6,4
62,204,Video,TV show,Dog watching the TV,0.8434701334734032,18,7,5,6,2
63,580,Video,Music Artist,Boy and girl dancing,0.17167503555525143,1,0,0,6,3
64,228,Image,TV show,Dog watching the TV,0.6211495804776371,19,5,5,6,8
65,974,Video,Sports,Mbappe coming to Madrid,0.13072427331899972,0,0,0,6,8
66,651,Text,News and present,The billionaire space race,0.04611383638070243,0,0,0,6,5
67,886,Image,TV show,Family going to the cinema,0.056378708178383974,0,0,0,6,1
68,830,Image,Animals,Human touching a parrot,0.8580795302521054,13,7,4,6,1
69,727,Image,Animals,Happy cat playing with a ball,0.8724189671855302,17,8,8,7,5
70,790,Video,Food,Chorizo a la sidra,0.4009600932591154,2,2,2,7,1
71,215,Image,Animals,Cat with glasses and smiling,0.4766537308618457,6,2,2,7,4
72,101,Text,TV show,Breaking bad scene,0.8803071069986137,28,8,6,7,1
73,338,Video,TV show,The Great British Baking Show,0.8153999345342478,15,4,3,7,10
74,901,Image,Sports,Playing paddle,0.12764146566429113,2,2,0,7,7
75,279,Image,TV show,The Great British Baking Show,0.21008282393788769,1,0,0,7,4
76,667,Video,Sports,Family running on the beach,0.10315822677742414,0,0,0,7,5
77,452,Video,Drink Brand,Green Fanta on the supermarket,0.03194984409257495,0,0,0,7,6
78,840,Video,TV show,Arcane breaking rankings,0.5119889332530161,3,1,1,7,5
79,737,Video,Animals,Cat sleeping in bed,0.676657761601753,10,1,0,7,2
80,325,Text,Sports,Tokio Olympic games,0.1724187517561786,2,1,1,7,3
81,765,Video,Animals,Cat eating,0.8068362470752115,2,1,1,7,6
82,320,Video,TV show,Dog watching the TV,0.923961394761167,33,14,9,7,7
83,412,Image,Sports,Tokio Olympic games,0.21839989128882253,1,0,0,7,6
84,459,Video,Drink Brand,Red bull event,0.4826642494352442,0,0,0,8,6
85,419,Text,Music Artist,Rap battle on the street,0.9520063080272765,15,3,3,8,0
86,480,Image,TV show,Kid watching Better Call Saul,0.7463134810262145,12,3,2,8,3
87,10,Image,Music Artist,1M of assistants in a concert,0.5979373390546432,3,1,0,8,6
88,498,Image,TV show,Dog watching the TV,0.8216150387206544,4,3,1,8,3
89,747,Text,Music Artist,Eminem singing on NFL,0.5747343018150832,2,1,1,8,4
90,284,Image,Animals,Dog sleeping in bed,0.42427856101320427,6,3,2,8,7
91,15,Image,Sports,Visitors watching the Camp Nou,0.36264556132231773,4,0,0,8,1
92,503,Image,Music Artist,Listening queen on the bed,0.8766416595074352,30,12,10,8,7
93,380,Text,Computer games,League of legends game,0.9552843828291505,17,4,2,8,0
94,956,Image,TV show,Tv comedy,0.7671940510128639,5,1,1,8,7
95,888,Image,Sports,Cat playing football,0.22342915141089215,2,0,0,8,5
96,539,Video,Drink Brand,Red bull event,0.6553799264014069,17,7,5,8,7
97,821,Image,Computer games,Ibai Llanos streaming,0.6850677791167048,10,3,2,8,6
98,884,Image,TV show,Dog watching the TV,0.3590593263856473,3,1,1,8,4
99,247,Text,Music Artist,Driving a car with music,0.880747359525911,10,3,2,8,4
100,538,Image,Music Artist,Pink Floyd doing a talk,0.23727103175343522,0,0,0,8,7
101,165,Video,TV show,Watching the TV having dinner,0.6957784225969879,16,8,7,8,8
102,799,Image,Animals,Family in the safari,0.16890629250811973,0,0,0,8,6
103,430,Video,Music Artist,Rap battle on the street,0.803426143655064,13,6,5,8,2
104,597,Text,Travels,Dancing on Machu Picchu,0.17707057769110446,0,0,0,8,6
105,386,Image,Sports,Family running on the beach,0.2683930496786562,1,0,0,9,9
106,942,Video,TV show,Tv comedy,0.6621372676511172,5,1,0,9,2
107,637,Video,TV show,Breaking bad scene,0.7060676800029663,11,4,2,9,9
108,4,Video,Animals,Dog with glasses and smiling,0.8995628522149354,44,13,8,9,7
109,78,Video,Food,Glass in the microwave,0.004696412047417553,0,0,0,9,0
110,112,Image,Music Artist,Michael Jackson dancing,0.6297077840627638,13,5,4,9,6
111,737,Video,Sports,Cat playing football,0.47104345820842797,1,0,0,9,7
112,22,Video,Sports,Playing paddle,0.38851407853747844,3,1,1,9,8
113,586,Image,TV show,The Great British Baking Show,0.8607220794656562,13,3,1,9,9
114,960,Image,Computer games,Ibai Llanos streaming,0.5914054764645019,1,0,0,9,7
115,118,Image,Music Artist,Listening queen on the bed,0.5772421766110191,12,3,2,9,7
116,192,Video,TV show,The Great British Baking Show,0.9525132550283543,22,6,6,9,6
117,965,Video,Sports,Cat playing football,0.836112517494536,11,4,2,9,6
118,823,Image,Music Artist,Family singing,0.11170190181252915,3,0,0,9,7
119,662,Image,TV show,Almodovar on the Oscars gala,0.7882862755766082,15,2,2,9,6
120,978,Video,Sports,Kid watching champions league on mobile phone,0.4460934308474669,3,1,1,9,3
121,15,Text,TV show,Black Batman costume,0.9636133587540635,20,6,6,9,5
122,170,Video,TV show,Kid watching Better Call Saul,0.768261529545282,13,4,3,9,9
123,519,Video,Drink Brand,Green Fanta on the supermarket,0.4128008259839716,4,0,0,9,9
124,817,Image,Computer games,League of legends game,0.17233514567778963,1,0,0,9,4
125,51,Video,Computer games,League of legends game,0.07013739123857543,0,0,0,9,2
126,594,Video,Animals,Sad dog playing with a ball,0.04017531493567117,0,0,0,9,7
127,51,Image,Animals,Turtle eating,0.7302749643530917,13,5,5,9,6
128,19,Video,TV show,Almodovar on the Oscars gala,0.496105004842503,7,2,2,9,8
129,283,Image,Computer games,League of legends game,0.8830010121784306,36,11,8,10,1
130,675,Image,Computer games,Red Nintendo DS,0.3774838408063753,5,2,2,10,5
131,774,Image,Music Artist,Pink Floyd doing a talk,0.5726244591612512,6,0,0,10,4
132,884,Video,Animals,Human touching a parrot,0.026783024918052956,0,0,0,10,3
133,507,Image,Food,Oven cleaning,0.8938084737725872,29,6,6,10,6
134,333,Image,Computer games,Friends playing games on the sofa,0.9363817357642112,28,10,9,10,4
135,703,Video,Food,Chinese Peking duck,0.8027990467688949,24,10,10,10,5
136,467,Image,Sports,Kid playing tennis,0.9229906819324996,12,4,4,10,6
137,392,Video,Computer games,Buying on Steam,0.09231893400143687,0,0,0,10,5
138,818,Image,Sports,Lakers vs Miami match,0.13875276917544754,1,0,0,10,7
139,90,Image,Sports,Lakers vs Miami match,0.9224609246167119,21,7,3,10,6
140,859,Text,Sports,Tokio Olympic games,0.884227221773036,13,3,2,10,0
141,229,Video,TV show,Tv comedy,0.19157172932684974,4,0,0,10,3
142,648,Image,Animals,Dog sleeping in bed,0.5547416942753358,3,1,1,10,6
143,201,Image,Sports,Tokio Olympic games,0.6005380520820488,10,4,3,10,8
144,38,Video,Music Artist,Led Zeppelin singing,0.7100823116949231,11,3,3,10,4
145,277,Text,Animals,Humans visiting the zoo,0.5681907764718775,11,4,3,10,4
146,230,Text,TV show,Breaking bad scene,0.3606867296727101,1,0,0,10,7
147,165,Image,Travels,Sydney Opera House performance,0.8294043233246116,19,2,2,10,7
148,977,Image,TV show,Almodovar on the Oscars gala,0.9884954788903024,6,2,2,10,1
149,649,Text,TV show,Black Batman costume,0.6657463228214002,8,4,2,10,8
150,667,Image,News and present,Ukraine crisis,0.25424568724307395,0,0,0,10,4
151,801,Video,Animals,Happy cat playing with a ball,0.10045024427322846,0,0,0,10,2
152,476,Image,Music Artist,Led Zeppelin singing,0.6129020913457072,7,3,2,10,2
153,137,Image,TV show,Family going to the cinema,0.4548493215500874,4,2,0,10,9
154,677,Image,TV show,Kid watching Better Call Saul,0.5629662532505219,7,2,2,11,6
155,743,Image,News and present,Ukraine crisis,0.2226336604937752,2,0,0,11,2
156,387,Image,Sports,Watching football on the TV,0.5785596795050304,12,3,2,11,5
157,723,Video,TV show,Tv comedy,0.992679305869246,18,8,5,11,8
158,537,Image,TV show,Family going to the cinema,0.8022402319274661,12,1,1,11,3
159,476,Video,Animals,Human touching a parrot,0.8503335645448011,13,3,2,11,6
160,749,Image,Animals,Book of 100 animals,0.7787539242970573,6,3,2,11,6
161,114,Image,Computer games,Friends playing games on the sofa,0.1807901333002766,2,1,1,11,4
162,814,Image,Music Artist,Pink Floyd doing a talk,0.6615335994402578,15,5,4,11,8
163,926,Video,Food,Family eating lasagne,0.24264645175831978,2,0,0,11,6
164,80,Image,Computer games,Red Nintendo DS,0.2617362442229806,0,0,0,11,7
165,55,Text,Sports,Watching football on the TV,0.418228598882054,3,1,0,11,5
