publication,userLike
0,70
0,281
0,516
0,291
0,287
0,1
0,176
0,4
0,226
0,109
0,509
0,201
0,629
0,164
0,797
0,204
0,37
0,105
0,87
0,117
0,66
0,314
0,799
0,742
0,193
0,376
0,545
0,137
0,90
0,97
0,299
0,41
0,412
1,25
1,32
1,64
1,10
1,78
1,645
1,31
1,511
1,126
1,580
1,188
1,13
1,266
1,375
1,161
1,87
1,634
1,628
1,26
1,777
1,50
1,204
1,191
1,74
1,56
1,81
1,548
1,542
1,513
1,262
1,14
1,243
1,183
1,636
1,394
1,294
1,94
1,533
2,1
2,26
2,2
2,503
2,251
2,65
2,969
2,272
2,515
2,541
2,49
2,182
2,129
2,158
2,908
2,604
2,15
2,640
2,511
2,204
2,508
2,318
2,918
2,9
2,67
2,726
2,312
2,875
3,446
3,8
3,2
3,21
3,784
3,269
3,564
3,663
3,7
3,38
3,63
3,443
3,626
3,379
3,25
3,195
3,69
3,627
3,509
3,534
3,823
3,511
3,11
3,127
3,692
3,386
4,502
4,37
4,190
4,632
4,446
4,261
4,444
4,784
4,767
4,628
4,3
4,505
4,443
4,132
4,379
4,251
4,195
4,912
4,36
4,48
4,69
4,32
4,143
4,609
4,106
4,73
4,70
4,57
4,701
4,127
4,657
4,515
4,4
4,174
4,759
4,67
4,326
5,567
5,504
5,876
5,755
5,113
5,458
5,762
5,505
5,320
5,322
5,62
5,64
5,188
5,254
5,171
5,376
5,6
5,379
5,566
5,816
5,286
5,160
5,45
5,285
5,20
5,156
5,892
5,140
5,572
5,833
5,795
5,736
5,125
5,85
5,18
5,626
5,443
5,381
6,816
6,781
6,298
6,501
6,67
6,565
6,788
6,689
6,5
6,569
6,773
6,326
6,189
6,753
6,596
6,257
6,19
6,594
6,83
6,647
6,585
6,133
6,606
7,256
7,100
7,233
7,111
7,533
7,37
7,97
7,508
7,76
7,16
7,20
7,985
7,255
7,273
7,8
7,136
7,30
7,33
7,511
7,541
7,23
7,119
7,10
7,83
7,14
7,38
7,625
7,539
7,5
7,145
7,516
7,304
7,781
7,718
8,64
8,0
8,100
8,533
8,383
8,760
8,76
8,16
8,6
8,569
8,576
8,273
8,129
8,943
8,63
8,515
8,511
8,36
8,119
8,14
8,539
8,145
8,278
8,821
9,23
9,27
9,316
9,36
9,66
9,877
9,632
9,834
9,34
9,50
9,409
9,631
9,627
9,77
9,395
9,535
9,567
9,20
9,350
9,817
9,10
9,784
9,515
9,335
9,21
10,23
10,6
10,505
10,143
10,128
10,109
10,3
10,50
10,792
10,627
10,147
10,9
10,77
10,769
10,18
10,225
10,136
10,817
10,47
10,823
10,335
10,268
11,17
11,307
11,165
11,817
11,524
11,649
11,666
11,324
11,259
11,322
11,31
11,39
11,87
11,812
11,5
11,949
11,107
11,0
11,328
11,570
11,588
11,212
11,353
11,44
11,88
11,655
11,751
11,641
11,127
11,49
11,688
12,250
12,567
12,78
12,86
12,307
12,510
12,12
12,627
12,4
12,500
12,14
12,125
12,149
12,556
12,65
12,195
12,64
12,479
12,95
12,754
12,213
12,949
12,789
12,75
12,548
12,625
12,572
12,56
12,16
12,336
12,41
12,285
12,40
12,314
12,353
12,25
12,762
12,641
13,58
13,10
13,587
13,387
13,513
13,1
13,636
13,5
13,856
13,31
13,368
13,628
13,555
13,108
13,388
13,263
13,13
13,9
13,505
13,767
13,48
13,633
13,93
13,538
13,806
14,698
14,72
14,41
14,272
14,195
14,577
14,1
14,822
14,3
14,49
14,182
14,262
14,2
14,18
14,511
14,503
14,140
14,564
