publication,user Tagged
1,794
2,776
2,856
2,309
2,373
2,92
3,291
3,772
3,801
3,272
3,478
3,252
3,312
4,584
4,839
4,633
5,882
5,363
5,63
5,381
5,281
5,316
6,228
6,923
6,546
6,94
6,222
6,78
6,739
6,406
7,394
7,95
7,531
7,146
7,22
7,71
7,16
8,755
8,758
8,7
8,375
8,253
8,387
9,680
11,652
11,798
11,552
11,851
11,293
12,18
12,373
12,902
12,382
12,329
12,753
12,886
12,376
14,216
14,926
14,879
14,906
14,855
14,701
14,661
14,153
15,880
15,858
15,596
16,41
16,821
16,398
16,812
16,286
16,587
17,134
17,695
17,501
17,169
17,139
18,815
18,40
18,429
18,269
18,745
18,219
18,657
19,745
19,718
19,965
19,572
20,696
20,274
21,970
22,954
22,571
22,838
22,812
22,587
22,945
22,197
23,444
23,328
23,751
23,94
23,329
23,563
23,63
23,259
24,126
24,802
25,725
25,414
25,551
25,203
25,87
25,106
25,441
25,569
25,638
26,417
26,80
26,218
26,360
26,176
26,229
26,718
26,547
26,110
26,172
27,237
27,579
27,643
27,719
27,525
28,916
28,968
28,687
28,531
28,815
28,378
28,816
28,851
28,85
29,711
29,200
29,530
29,61
29,773
30,266
30,28
31,220
31,60
31,840
31,92
31,575
31,201
31,858
31,124
32,790
32,174
32,406
32,132
32,386
32,2
32,772
33,660
33,566
33,162
34,195
34,490
35,109
35,703
35,0
35,332
35,83
35,318
35,399
35,75
35,95
36,25
36,395
36,328
36,520
36,333
37,399
37,379
37,641
37,325
37,672
37,146
37,509
38,149
39,221
39,453
39,496
39,428
39,613
40,2
40,350
40,370
41,824
41,40
41,791
41,0
41,34
41,559
42,371
42,59
42,309
42,936
42,86
42,508
42,120
42,62
43,299
44,26
44,269
44,850
44,67
44,78
44,68
44,584
44,747
44,959
44,88
45,304
45,539
45,62
45,39
45,564
46,949
46,20
46,961
46,523
47,189
47,598
48,970
48,143
48,288
48,460
48,626
48,705
48,989
48,577
49,64
49,753
49,94
49,322
49,313
50,849
50,692
51,164
51,324
51,47
51,809
51,373
51,416
51,307
51,715
52,925
52,487
52,226
53,774
54,1
54,213
54,706
54,549
54,17
54,254
55,813
55,821
55,797
55,321
55,269
55,339
55,276
55,331
56,280
56,574
56,385
56,90
56,12
56,281
56,32
57,150
57,268
57,275
57,775
57,339
58,783
58,265
59,180
59,639
59,51
59,288
60,571
60,573
60,298
60,12
60,95
60,0
60,271
61,846
61,721
61,640
61,331
62,549
62,300
63,41
63,672
63,1
64,735
64,233
64,182
64,688
64,367
64,728
64,362
64,0
65,727
65,815
65,898
65,881
65,191
65,894
65,750
65,937
66,877
66,332
66,634
66,155
66,897
67,416
68,326
69,868
69,609
69,533
69,601
69,103
70,775
71,146
71,466
71,325
71,401
72,24
73,80
73,463
73,353
73,478
73,619
73,451
73,228
73,312
73,92
73,149
74,502
74,988
74,289
74,877
74,416
74,526
74,211
75,779
75,93
75,356
75,271
76,148
76,159
76,638
76,666
76,12
77,325
77,466
77,440
77,700
77,546
77,228
78,324
78,864
78,271
78,692
78,594
79,331
79,683
80,259
80,775
80,113
81,530
81,753
81,781
81,260
81,557
81,785
82,385
82,137
82,55
82,826
82,259
82,755
82,254
83,170
83,125
83,283
83,443
83,502
83,472
84,141
84,963
84,455
84,270
84,111
84,566
86,996
86,476
86,824
87,765
87,307
87,26
87,14
87,343
87,80
88,280
88,497
88,659
89,713
89,189
89,17
89,84
90,19
90,253
90,42
90,267
90,84
90,284
90,908
91,139
92,562
92,508
92,856
92,6
92,46
92,571
92,782
94,861
94,990
94,336
94,987
94,942
94,190
94,323
95,9
95,721
95,12
95,899
95,130
96,280
96,552
96,638
96,579
96,586
96,626
96,213
97,87
97,571
97,251
97,762
97,352
97,253
98,750
98,505
98,267
98,759
99,144
99,114
99,102
99,94
100,676
100,594
100,34
100,12
100,796
100,583
100,502
101,512
101,386
101,168
101,154
101,719
101,134
101,218
101,636
102,553
102,297
102,746
102,644
102,533
102,783
103,34
103,423
104,972
104,105
104,991
104,549
104,571
104,594
105,419
105,165
105,854
105,375
105,400
105,917
105,651
105,538
105,521
106,722
106,469
107,639
107,133
107,164
107,701
107,918
107,656
107,638
107,768
107,945
108,347
108,16
108,30
108,412
108,795
108,816
108,315
110,98
110,73
110,628
110,547
110,87
110,721
111,726
111,743
111,683
111,987
111,194
111,969
111,581
112,424
112,179
112,83
112,830
112,507
112,61
112,125
112,4
113,774
113,675
113,590
113,17
113,501
113,101
113,503
113,695
113,78
114,944
114,459
114,902
114,322
114,770
114,925
114,895
115,480
115,743
115,86
115,37
115,31
115,102
115,247
116,695
116,157
116,638
116,503
116,688
116,128
117,953
117,899
117,147
117,703
117,714
117,340
118,883
118,584
118,72
118,869
118,822
118,573
118,7
119,288
119,534
119,387
119,690
119,916
119,662
120,728
120,751
120,937
121,126
121,569
121,183
121,140
121,170
122,40
122,147
122,793
122,99
122,640
122,635
122,217
122,31
122,537
123,520
123,218
123,600
123,234
123,619
123,331
123,563
123,513
123,527
124,267
124,565
124,316
124,70
125,156
125,434
126,812
126,692
126,634
126,787
126,63
126,157
126,31
127,661
127,72
127,7
127,303
127,16
127,809
128,252
128,72
128,173
128,587
128,517
128,505
128,1
128,799
129,625
130,531
130,549
130,979
130,141
130,9
131,896
131,619
131,899
131,649
132,817
132,755
132,833
133,815
133,472
133,276
133,568
133,515
133,626
134,520
134,368
134,434
134,303
135,947
135,739
135,504
135,715
135,937
136,643
136,917
136,323
136,468
136,463
136,713
137,144
137,888
137,79
137,383
137,461
138,531
138,568
138,505
138,379
138,774
138,693
138,113
139,325
139,66
139,586
139,223
139,106
139,328
141,789
141,600
141,267
142,554
142,171
142,536
142,273
142,612
142,126
143,187
143,171
143,76
143,213
143,365
143,115
143,209
143,149
144,294
144,156
144,782
144,788
145,513
145,902
145,453
145,86
146,39
146,445
146,970
146,199
146,12
146,246
146,364
147,40
147,9
147,187
147,503
147,686
147,60
147,351
148,218
149,633
149,682
149,645
149,649
149,138
149,430
149,149
149,630
150,652
150,754
150,682
150,156
